"SCountry","TCountry","Intensity"
"Venezuela","Russia",-4
"Armenia","Rwanda",-9
"Burundi","Rwanda",-9
"France","Rwanda",-22
"Russia","Rwanda",-5
"Spain","Rwanda",-32
"Tanzania","Rwanda",-32
"New Zealand","Samoa",-4
"Iraq","Saudi Arabia",-20
"Syria","Saudi Arabia",-2
"United States","Saudi Arabia",-10
"France","Senegal",-5
"Albania","Serbia",-171
"Austria","Serbia",-9
"Belarus","Serbia",-11.5
"Bosnia and Herzegovina","Serbia",-38
"Croatia","Serbia",-34
"Cyprus","Serbia",-2
"Czech Republic","Serbia",-2
"Italy","Serbia",-4
"Japan","Serbia",-5
"Kosovo","Serbia",-1028.3
"Netherlands","Serbia",-4
"Portugal","Serbia",-4
"Romania","Serbia",-5
"Russia","Serbia",-31.4
"Slovakia","Serbia",-2
"Slovenia","Serbia",-5
"South Korea","Serbia",-0.3
"Taiwan","Serbia",-5
"Turkey","Serbia",-35
"United Kingdom","Serbia",-7
"United States","Serbia",-60.4
"China","Singapore",-35
"Indonesia","Singapore",-14.4
"France","Slovakia",-2
"Lebanon","Slovakia",-4
"Austria","Slovenia",-2
"Croatia","Slovenia",-18
"Serbia","Slovenia",-21.5
"Spain","Slovenia",-0.4
"Ethiopia","Somalia",-73.9
"Netherlands","Somalia",-8
"South Korea","Somalia",-14.4
"Uganda","Somalia",-7.2
"United States","Somalia",-20
"Australia","South Africa",-5
"Burundi","South Africa",-2
"France","South Africa",-0.4
"Kenya","South Africa",-16.4
"Mauritius","South Africa",-21
"Netherlands","South Africa",-5.8
"New Zealand","South Africa",-5
"Nigeria","South Africa",-2
"Pakistan","South Africa",-9
"United States","South Africa",-20
"Vietnam","South Africa",-5
"Zimbabwe","South Africa",-17
"Afghanistan","South Korea",-27
"Belize","South Korea",-27.4
"China","South Korea",-20.4
"Grenada","South Korea",-4
"Israel","South Korea",-10
"Japan","South Korea",-31
"North Korea","South Korea",-32.4
"Taiwan","South Korea",-4
"United Kingdom","South Korea",-2
"United States","South Korea",-124.2
"China","Spain",-12
"Colombia","Spain",-5
"Ecuador","Spain",-5
"France","Spain",-25
"Iran","Spain",-4
"Mexico","Spain",-0.4
"Morocco","Spain",-8.8
"Rwanda","Spain",-10
"United States","Spain",-17.3
"Germany","Sri Lanka",-9.5
"India","Sri Lanka",-75.2
"Japan","Sri Lanka",-4.4
"Kosovo","Sri Lanka",-4.4
"New Zealand","Sri Lanka",-6.5
"Rwanda","Sri Lanka",-2
"Chad","Sudan",-138.6
"China","Sudan",-10
"Egypt","Sudan",-70
"Ethiopia","Sudan",-10
"France","Sudan",-14
"India","Sudan",-8
"South Korea","Sudan",-7
"South Sudan","Sudan",-14
"Uganda","Sudan",-38
"United Kingdom","Sudan",-14.3
"United States","Sudan",-63.2
"France","Sweden",-10
"Russia","Sweden",-9
"Germany","Switzerland",-8
"Serbia","Switzerland",-8
"Slovakia","Switzerland",-4
"South Africa","Switzerland",-20
"Austria","Syria",-0.4
"Israel","Syria",-60.4
"Lebanon","Syria",-43
"Saudi Arabia","Syria",-6.5
"United States","Syria",-221.2
"Yemen","Syria",-4
"Australia","Taiwan",-20
"China","Taiwan",-123.4
"Germany","Taiwan",-8
"Hong Kong","Taiwan",-9
"Japan","Taiwan",-10
"Philippines","Taiwan",-10
"Russia","Taiwan",-12
"Tajikistan","Taiwan",-4.3
"United Kingdom","Taiwan",-8
"United States","Taiwan",-74.4
"Vietnam","Taiwan",-24
"Croatia","Tajikistan",-2
"Kazakhstan","Tajikistan",-5
"Russia","Tajikistan",-31.4
"Uzbekistan","Tajikistan",-5.6
"Canada","Tanzania",-4
"South Africa","Tanzania",-0.4
"United States","Tanzania",-2.2
"Laos","Thailand",-9
"Myanmar","Thailand",-6
"Singapore","Thailand",-5
"Sweden","Thailand",-5
"Turkey","Thailand",-4
"United States","Thailand",-5.6
"Australia","Timor-Leste",-253.4
"Indonesia","Timor-Leste",-45
"New Zealand","Timor-Leste",-9
"Portugal","Timor-Leste",-2
"Singapore","Timor-Leste",-9
"South Africa","Timor-Leste",-2
"United States","Timor-Leste",-11
"Germany","Togo",-4
"Bangladesh","Trinidad and Tobago",-2
"Denmark","Tunisia",-54
"Russia","Tunisia",-33.5
"Austria","Turkey",-2
"Azerbaijan","Turkey",-0.4
"Belgium","Turkey",-13
"Bulgaria","Turkey",-10
"Egypt","Turkey",-6.7
"France","Turkey",-8
"Germany","Turkey",-34.7
"Ghana","Turkey",-2
"Greece","Turkey",-2
"Iran","Turkey",-18
"Iraq","Turkey",-347.6
"Italy","Turkey",-0.4
"Japan","Turkey",-4
"Kosovo","Turkey",-4
"Moldova, Republic of","Turkey",-5
"Serbia","Turkey",-49
"South Africa","Turkey",-10
"South Korea","Turkey",-2.3
"Spain","Turkey",-2.8
"Syria","Turkey",-10
"United Kingdom","Turkey",-8
"United States","Turkey",-152.8
"Iran","Turkmenistan",-8.5
"Kosovo","Turkmenistan",-0.4
"Serbia","Turkmenistan",-8.4
"Slovenia","Turkmenistan",-5
"United States","Turkmenistan",-4
"Central African Republic","Uganda",-43
"Kenya","Uganda",-33
"Mozambique","Uganda",-5
"Nigeria","Uganda",-2
"Russia","Uganda",-2
"Saudi Arabia","Uganda",-10
"South Sudan","Uganda",-2
"Sudan","Uganda",-13
"United States","Uganda",-9.5
"Italy","Ukraine",-5
"Russia","Ukraine",-279.6
"Iran","United Arab Emirates",-2
"Iraq","United Arab Emirates",-5
"Turkey","United Arab Emirates",-29
"United States","United Arab Emirates",-5
"Afghanistan","United Kingdom",-113
"American Samoa","United Kingdom",-10
"Australia","United Kingdom",-9.5
"Azerbaijan","United Kingdom",-5
"Canada","United Kingdom",-13
"Cyprus","United Kingdom",-5
"Egypt","United Kingdom",-10.5
"Equatorial Guinea","United Kingdom",-15
"Fiji","United Kingdom",-5
"France","United Kingdom",-5
"Germany","United Kingdom",-7
"India","United Kingdom",-14
"Iraq","United Kingdom",-43.5
"Ireland","United Kingdom",-13
"Israel","United Kingdom",-0.4
"Italy","United Kingdom",-14
"Japan","United Kingdom",-5
"Kenya","United Kingdom",-17.5
"Netherlands","United Kingdom",-6
"New Zealand","United Kingdom",-9
"Pakistan","United Kingdom",-16
"Russia","United Kingdom",-9
"Serbia","United Kingdom",-6.4
"Slovakia","United Kingdom",-9
"South Africa","United Kingdom",-14
"Spain","United Kingdom",-7
"Sudan","United Kingdom",-4
"Sweden","United Kingdom",-10
"Tanzania","United Kingdom",-7
"Thailand","United Kingdom",-5
"United Arab Emirates","United Kingdom",-10
"United States","United Kingdom",-155
"Yemen","United Kingdom",-20
"Zimbabwe","United Kingdom",-51
"Afghanistan","United States",-127.3
"Armenia","United States",-4
"Australia","United States",-17.8
"Austria","United States",-10
"Belgium","United States",-2
"Bolivia","United States",-28
"Brazil","United States",-31.8
"Cambodia","United States",-4.4
"Cameroon","United States",-2
"Canada","United States",-45.3
"Chile","United States",-41.1
"China","United States",-149.4
"Colombia","United States",-116.5
"Croatia","United States",-9
"Cuba","United States",-132.3
"Czech Republic","United States",-35
"Ecuador","United States",-18
"Egypt","United States",-23
"Ethiopia","United States",-0.1
"France","United States",-22.2
"Georgia","United States",-22
"Germany","United States",-164.4
"Ghana","United States",-5
"Guatemala","United States",-9
"Haiti","United States",-2
"Holy See","United States",-4
"India","United States",-31
"Indonesia","United States",-10
"Iran","United States",-119
"Iraq","United States",-198.4
"Ireland","United States",-8.4
"Israel","United States",-7
"Italy","United States",-20
"Japan","United States",-122
"Jordan","United States",-4
"Kazakhstan","United States",-7.2
"Kenya","United States",-29.1
"Kosovo","United States",-13.5
"Lebanon","United States",-88
"Liberia","United States",-19.6
"Mexico","United States",-76.7
"Myanmar","United States",-5
